# Le message WeChat (story 4b.7) : les échanges de chaque dialogue, dans l'ordre.
#
# Source : rédigé pour l'app, sans API ; à relire. Des phrases courtes, qui ne
# s'écrivent qu'avec les caractères que les parcours posent (`wenlu check`).
#
# Conventions de pinyin, celles des fiches (`pinyin.py`) : tons du dictionnaire,
# sans sandhi (一 s'écrit yī, 不 bù), un mot d'un seul tenant, ponctuation latine.
# Chaque caractère doit se lire par l'une de ses lectures ; `wenlu check` aligne, et
# l'export en tire le pinyin de chaque caractère, que l'app montre au toucher.
#
# Format : TSV, `#` en commentaire, sept colonnes séparées par une tabulation :
# `dialogue` (l'`id` de `dialogues.tsv`), `role`, `zh`, `pinyin`, `fr`, `en`, `erreur`.
#
# Un échange commence par un message de l'ami (`ami`), suivi d'une bonne réplique
# (`juste`) et de deux ou trois mauvaises (`faux`) : trois ou quatre répliques. Une
# mauvaise réplique dit ce qui cloche (`erreur`) : `hors-sujet` (elle parle d'autre
# chose) ou `contresens` (elle lit mal le message : 今天 pour 明天, 茶 pour 菜, un
# « oui » qui contredit). Un dialogue a de deux à quatre échanges ; un dernier message
# de l'ami (`fin`), sans réplique, peut le clore.
dialogue	role	zh	pinyin	fr	en	erreur
xiayu	ami	明天去山上？	Míngtiān qù shān shàng?	Demain, on monte à la montagne ?	Up the mountain tomorrow?	
xiayu	juste	好！明天不下雨？	Hǎo! Míngtiān bù xià yǔ?	D'accord ! Il ne pleuvra pas demain ?	OK! Won't it rain tomorrow?	
xiayu	faux	不，今天去。	Bù, jīntiān qù.	Non, on y va aujourd'hui.	No, let's go today.	contresens
xiayu	faux	我有一个女儿。	Wǒ yǒu yī ge nǚ'ér.	J'ai une fille.	I have a daughter.	hors-sujet
xiayu	fin	明天不下雨。明天见！	Míngtiān bù xià yǔ. Míngtiān jiàn!	Il ne pleuvra pas demain. À demain !	No rain tomorrow. See you then!	
shangke	ami	下午我去上课。	Xiàwǔ wǒ qù shàngkè.	Cet après-midi, je vais en cours.	I'm going to class this afternoon.	
shangke	juste	上午不上课？	Shàngwǔ bù shàngkè?	Pas de cours ce matin ?	No class this morning?	
shangke	faux	好，上午见！	Hǎo, shàngwǔ jiàn!	D'accord, à ce matin !	OK, see you this morning!	contresens
shangke	faux	我有两本书。	Wǒ yǒu liǎng běn shū.	J'ai deux livres.	I have two books.	hors-sujet
shangke	ami	不上。上午我不出门。	Bù shàng. Shàngwǔ wǒ bù chūmén.	Non. Ce matin, je ne sors pas.	No. I'm staying in this morning.	
shangke	juste	好，下午见！	Hǎo, xiàwǔ jiàn!	D'accord, à cet après-midi !	OK, see you this afternoon!	
shangke	faux	上午去上课？	Shàngwǔ qù shàngkè?	Tu vas en cours ce matin ?	Going to class this morning?	contresens
shangke	faux	我去过北京。	Wǒ qùguo Běijīng.	Je suis allé à Pékin.	I've been to Beijing.	hors-sujet
xingqiliu	ami	星期六我们去山上？	Xīngqīliù wǒmen qù shān shàng?	Samedi, on monte à la montagne ?	Shall we go up the mountain on Saturday?	
xingqiliu	juste	好！几个人去？	Hǎo! Jǐ ge rén qù?	D'accord ! On sera combien ?	OK! How many of us?	
xingqiliu	faux	星期天？好！	Xīngqītiān? Hǎo!	Dimanche ? D'accord !	Sunday? OK!	contresens
xingqiliu	faux	我有三个杯子。	Wǒ yǒu sān ge bēizi.	J'ai trois tasses.	I've got three cups.	hors-sujet
xingqiliu	ami	四个人。	Sì ge rén.	Quatre.	Four of us.	
xingqiliu	juste	好，星期六早上见！	Hǎo, xīngqīliù zǎoshang jiàn!	D'accord, à samedi matin !	OK, see you Saturday morning!	
xingqiliu	faux	好，星期一见！	Hǎo, xīngqīyī jiàn!	D'accord, à lundi !	OK, see you Monday!	contresens
xingqiliu	faux	我去过北京。	Wǒ qùguo Běijīng.	Je suis allé à Pékin.	I've been to Beijing.	hors-sujet
nihao	ami	你好！	Nǐ hǎo!	Salut !	Hi!	
nihao	juste	你好！	Nǐ hǎo!	Salut !	Hi!	
nihao	faux	再见！	Zàijiàn!	Au revoir !	Bye!	contresens
nihao	faux	他二十岁。	Tā èrshí suì.	Il a vingt ans.	He's twenty.	hors-sujet
nihao	ami	你明天回来吗？	Nǐ míngtiān huílái ma?	Tu rentres demain ?	Are you back tomorrow?	
nihao	juste	不，我后天回来。	Bù, wǒ hòutiān huílái.	Non, je rentre après-demain.	No, I'm back the day after tomorrow.	
nihao	faux	不，我明天回来。	Bù, wǒ míngtiān huílái.	Non, je rentre demain.	No, I'm back tomorrow.	contresens
nihao	faux	我有三个杯子。	Wǒ yǒu sān ge bēizi.	J'ai trois tasses.	I've got three cups.	hors-sujet
nihao	ami	好，后天见！	Hǎo, hòutiān jiàn!	D'accord, à après-demain !	OK, see you the day after tomorrow!	
nihao	juste	后天见！	Hòutiān jiàn!	À après-demain !	See you then!	
nihao	faux	明天见！	Míngtiān jiàn!	À demain !	See you tomorrow!	contresens
nihao	faux	我是学生。	Wǒ shì xuésheng.	Je suis étudiant.	I'm a student.	hors-sujet
xinshu	ami	我有三本新书。	Wǒ yǒu sān běn xīn shū.	J'ai trois livres neufs.	I've got three new books.	
xinshu	juste	是什么书？	Shì shénme shū?	Quels livres ?	What books?	
xinshu	faux	三本老书？	Sān běn lǎo shū?	Trois vieux livres ?	Three old books?	contresens
xinshu	faux	明天有雨。	Míngtiān yǒu yǔ.	Il pleuvra demain.	It'll rain tomorrow.	hors-sujet
xinshu	ami	两本中文书，一本日文书。	Liǎng běn Zhōngwén shū, yī běn Rìwén shū.	Deux livres en chinois, un en japonais.	Two Chinese books and one Japanese book.	
xinshu	juste	中文书难不难？	Zhōngwén shū nán bù nán?	Ceux en chinois, ils sont difficiles ?	Are the Chinese ones hard?	
xinshu	faux	四本日文书？	Sì běn Rìwén shū?	Quatre livres en japonais ?	Four Japanese books?	contresens
xinshu	faux	我不去日本。	Wǒ bù qù Rìběn.	Je ne vais pas au Japon.	I'm not going to Japan.	hors-sujet
xinshu	fin	不难！	Bù nán!	Pas difficiles !	Not hard!	
qiche	ami	我有新车了！	Wǒ yǒu xīn chē le!	J'ai une nouvelle voiture !	I've got a new car!	
qiche	juste	什么车？	Shénme chē?	Quelle voiture ?	What car?	
qiche	faux	老车？	Lǎo chē?	Une vieille voiture ?	An old car?	contresens
qiche	faux	下午有课。	Xiàwǔ yǒu kè.	J'ai cours cet après-midi.	I've got class this afternoon.	hors-sujet
qiche	ami	小汽车，是日本车。	Xiǎo qìchē, shì Rìběn chē.	Une petite voiture, japonaise.	A small car, a Japanese one.	
qiche	juste	明天我们开车去山上！	Míngtiān wǒmen kāichē qù shān shàng!	Demain, on monte à la montagne en voiture !	Tomorrow let's drive up the mountain!	
qiche	faux	大汽车？	Dà qìchē?	Une grosse voiture ?	A big car?	contresens
qiche	faux	我有两本书。	Wǒ yǒu liǎng běn shū.	J'ai deux livres.	I have two books.	hors-sujet
qiche	fin	好！明天见！	Hǎo! Míngtiān jiàn!	D'accord ! À demain !	OK! See you tomorrow!	
beijing	ami	我明年去北京！	Wǒ míngnián qù Běijīng!	L'an prochain, je vais à Pékin !	I'm going to Beijing next year!	
beijing	juste	太好了！去几天？	Tài hǎo le! Qù jǐ tiān?	Super ! Pour combien de jours ?	Great! For how many days?	
beijing	faux	去年？	Qùnián?	L'an dernier ?	Last year?	contresens
beijing	faux	下午有课。	Xiàwǔ yǒu kè.	J'ai cours cet après-midi.	I've got class this afternoon.	hors-sujet
beijing	ami	十天。	Shí tiān.	Dix jours.	Ten days.	
beijing	juste	十天不少！	Shí tiān bù shǎo!	Dix jours, ce n'est pas rien !	Ten days, that's a good while!	
beijing	faux	十个月？	Shí ge yuè?	Dix mois ?	Ten months?	contresens
beijing	faux	水不多了。	Shuǐ bù duō le.	Il ne reste plus beaucoup d'eau.	There's not much water left.	hors-sujet
beijing	ami	你也来北京？	Nǐ yě lái Běijīng?	Tu viens à Pékin, toi aussi ?	Are you coming to Beijing too?	
beijing	juste	我想去！	Wǒ xiǎng qù!	J'aimerais bien !	I'd love to!	
beijing	faux	你来北京？	Nǐ lái Běijīng?	C'est toi qui viens à Pékin ?	You're coming to Beijing?	contresens
beijing	faux	我有一个哥哥。	Wǒ yǒu yī ge gēge.	J'ai un grand frère.	I have an older brother.	hors-sujet
nihaoma	ami	你好吗？	Nǐ hǎo ma?	Comment ça va ?	How are you?	
nihaoma	juste	我很好，你呢？	Wǒ hěn hǎo, nǐ ne?	Très bien, et toi ?	Very well, and you?	
nihaoma	faux	再见！	Zàijiàn!	Au revoir !	Goodbye!	contresens
nihaoma	faux	我在北京。	Wǒ zài Běijīng.	Je suis à Pékin.	I'm in Beijing.	hors-sujet
nihaoma	ami	我也很好。你在哪里？	Wǒ yě hěn hǎo. Nǐ zài nǎli?	Bien aussi. Tu es où ?	I'm fine too. Where are you?	
nihaoma	juste	我在家。	Wǒ zài jiā.	À la maison.	At home.	
nihaoma	faux	我很好。	Wǒ hěn hǎo.	Je vais bien.	I'm fine.	contresens
nihaoma	faux	明天有雨。	Míngtiān yǒu yǔ.	Il pleuvra demain.	It'll rain tomorrow.	hors-sujet
nihaoma	ami	我也在家。下午来我家玩？	Wǒ yě zài jiā. Xiàwǔ lái wǒ jiā wán?	Moi aussi. Tu viens chez moi cet après-midi ?	Me too. Come over this afternoon?	
nihaoma	juste	好！下午见！	Hǎo! Xiàwǔ jiàn!	D'accord ! À cet après-midi !	OK! See you this afternoon!	
nihaoma	faux	好！上午见！	Hǎo! Shàngwǔ jiàn!	D'accord ! À ce matin !	OK! See you this morning!	contresens
nihaoma	faux	我有一个哥哥。	Wǒ yǒu yī ge gēge.	J'ai un grand frère.	I have an older brother.	hors-sujet
hecha	ami	我家有好茶，来喝茶吗？	Wǒ jiā yǒu hǎo chá, lái hē chá ma?	J'ai du bon thé à la maison, tu viens en boire ?	I've got some good tea at home, want to come over for a cup?	
hecha	juste	好！什么茶？	Hǎo! Shénme chá?	Volontiers ! Quel thé ?	Sure! What tea?	
hecha	faux	你家有很多菜？	Nǐ jiā yǒu hěn duō cài?	Tu as beaucoup de légumes chez toi ?	You've got lots of vegetables at home?	contresens
hecha	faux	明天我去上课。	Míngtiān wǒ qù shàngkè.	Demain, je vais en cours.	I'm going to class tomorrow.	hors-sujet
hecha	ami	花茶，很好喝。	Huāchá, hěn hǎohē.	Du thé aux fleurs, il est très bon.	Flower tea, it's really good.	
hecha	juste	我很喜欢花茶！	Wǒ hěn xǐhuan huāchá!	J'adore le thé aux fleurs !	I love flower tea!	
hecha	faux	你喜欢花吗？	Nǐ xǐhuan huā ma?	Tu aimes les fleurs ?	Do you like flowers?	contresens
hecha	faux	这本书很好。	Zhè běn shū hěn hǎo.	Ce livre est très bien.	This book is great.	hors-sujet
hecha	fin	那你现在来！	Nà nǐ xiànzài lái!	Alors viens maintenant !	Then come over now!	
fangzi	ami	我有新房子了！	Wǒ yǒu xīn fángzi le!	J'ai un nouvel appartement !	I've got a new flat!	
fangzi	juste	太好了！房子大吗？	Tài hǎo le! Fángzi dà ma?	Super ! Il est grand ?	Great! Is it big?	
fangzi	faux	你有新车了？	Nǐ yǒu xīn chē le?	Tu as une nouvelle voiture ?	You've got a new car?	contresens
fangzi	faux	我不喝茶。	Wǒ bù hē chá.	Je ne bois pas de thé.	I don't drink tea.	hors-sujet
fangzi	ami	不太大，有两个房间。	Bù tài dà, yǒu liǎng ge fángjiān.	Pas très, il y a deux pièces.	Not very, it has two rooms.	
fangzi	juste	两个房间很好！	Liǎng ge fángjiān hěn hǎo!	Deux pièces, c'est bien !	Two rooms is good!	
fangzi	faux	三个房间？太大了！	Sān ge fángjiān? Tài dà le!	Trois pièces ? C'est immense !	Three rooms? That's huge!	contresens
fangzi	faux	他二十岁。	Tā èrshí suì.	Il a vingt ans.	He's twenty.	hors-sujet
fangzi	ami	你明天来我家玩！	Nǐ míngtiān lái wǒ jiā wán!	Viens chez moi demain !	Come over tomorrow!	
fangzi	juste	好，明天见！	Hǎo, míngtiān jiàn!	D'accord, à demain !	OK, see you tomorrow!	
fangzi	faux	好，你明天来我家。	Hǎo, nǐ míngtiān lái wǒ jiā.	D'accord, viens chez moi demain.	OK, come to my place tomorrow.	contresens
fangzi	faux	我在学中文。	Wǒ zài xué Zhōngwén.	J'apprends le chinois.	I'm learning Chinese.	hors-sujet
jidian	ami	现在几点？	Xiànzài jǐ diǎn?	Quelle heure est-il ?	What time is it?	
jidian	juste	三点半。	Sān diǎn bàn.	Trois heures et demie.	Half past three.	
jidian	faux	三月。	Sānyuè.	Mars.	March.	contresens
jidian	faux	我有两个哥哥。	Wǒ yǒu liǎng ge gēge.	J'ai deux grands frères.	I have two older brothers.	hors-sujet
jidian	ami	四点我们去看电影，好吗？	Sì diǎn wǒmen qù kàn diànyǐng, hǎo ma?	À quatre heures, on va voir un film, ça te va ?	Shall we go and see a film at four?	
jidian	juste	好！在哪里见？	Hǎo! Zài nǎli jiàn?	D'accord ! On se retrouve où ?	OK! Where shall we meet?	
jidian	faux	好！我们去看书。	Hǎo! Wǒmen qù kàn shū.	D'accord ! On va lire.	OK! Let's go and read.	contresens
jidian	faux	他二十岁。	Tā èrshí suì.	Il a vingt ans.	He's twenty.	hors-sujet
jidian	ami	在书店门口见。	Zài shūdiàn ménkǒu jiàn.	Devant la librairie.	Outside the bookshop.	
jidian	juste	好，四点见！	Hǎo, sì diǎn jiàn!	D'accord, à quatre heures !	OK, see you at four!	
jidian	faux	好，十点见！	Hǎo, shí diǎn jiàn!	D'accord, à dix heures !	OK, see you at ten!	contresens
jidian	faux	我想喝茶。	Wǒ xiǎng hē chá.	J'ai envie d'un thé.	I feel like some tea.	hors-sujet
piao	ami	我有两张电影票，你想去吗？	Wǒ yǒu liǎng zhāng diànyǐng piào, nǐ xiǎng qù ma?	J'ai deux places de cinéma, tu veux venir ?	I've got two cinema tickets, want to come?	
piao	juste	想去！什么电影？	Xiǎng qù! Shénme diànyǐng?	Oui ! Quel film ?	Yes! What film?	
piao	faux	两张火车票？	Liǎng zhāng huǒchē piào?	Deux billets de train ?	Two train tickets?	contresens
piao	faux	我有新房子了。	Wǒ yǒu xīn fángzi le.	J'ai un nouvel appartement.	I've got a new flat.	hors-sujet
piao	ami	一个日本电影，很好看。	Yī ge Rìběn diànyǐng, hěn hǎokàn.	Un film japonais, très bien.	A Japanese film, a really good one.	
piao	juste	好！什么时候？	Hǎo! Shénme shíhou?	Génial ! C'est quand ?	Great! When is it?	
piao	faux	你去日本了？	Nǐ qù Rìběn le?	Tu es allé au Japon ?	You went to Japan?	contresens
piao	faux	两个房间很好！	Liǎng ge fángjiān hěn hǎo!	Deux pièces, c'est bien !	Two rooms is good!	hors-sujet
piao	ami	明天下午。	Míngtiān xiàwǔ.	Demain après-midi.	Tomorrow afternoon.	
piao	juste	好，明天下午见！	Hǎo, míngtiān xiàwǔ jiàn!	D'accord, à demain après-midi !	OK, see you tomorrow afternoon!	
piao	faux	好，今天下午见！	Hǎo, jīntiān xiàwǔ jiàn!	D'accord, à cet après-midi !	OK, see you this afternoon!	contresens
piao	faux	我在学中文。	Wǒ zài xué Zhōngwén.	J'apprends le chinois.	I'm learning Chinese.	hors-sujet
zuotian	ami	你昨天晚上去哪里了？	Nǐ zuótiān wǎnshang qù nǎli le?	Tu étais où hier soir ?	Where did you go last night?	
zuotian	juste	我去看电影了。	Wǒ qù kàn diànyǐng le.	Je suis allé voir un film.	I went to see a film.	
zuotian	faux	我明天去看电影。	Wǒ míngtiān qù kàn diànyǐng.	Je vais voir un film demain.	I'm seeing a film tomorrow.	contresens
zuotian	faux	我有三个杯子。	Wǒ yǒu sān ge bēizi.	J'ai trois tasses.	I've got three cups.	hors-sujet
zuotian	ami	电影好看吗？	Diànyǐng hǎokàn ma?	Il était bien, le film ?	Was the film good?	
zuotian	juste	很好看！	Hěn hǎokàn!	Très bien !	Very good!	
zuotian	faux	很好吃！	Hěn hǎochī!	Très bon à manger !	Very tasty!	contresens
zuotian	faux	我去过北京。	Wǒ qùguo Běijīng.	Je suis allé à Pékin.	I've been to Beijing.	hors-sujet
zuotian	ami	我也想看！	Wǒ yě xiǎng kàn!	Moi aussi, je veux le voir !	I want to see it too!	
zuotian	juste	我们星期六去？	Wǒmen xīngqīliù qù?	On y va samedi ?	Shall we go on Saturday?	
zuotian	faux	你看过了？	Nǐ kànguo le?	Tu l'as déjà vu ?	You've already seen it?	contresens
zuotian	faux	我家有四口人。	Wǒ jiā yǒu sì kǒu rén.	Nous sommes quatre dans ma famille.	There are four of us in my family.	hors-sujet
zuotian	fin	好！星期六见！	Hǎo! Xīngqīliù jiàn!	D'accord ! À samedi !	OK! See you Saturday!	
xuexiao	ami	你们学校大吗？	Nǐmen xuéxiào dà ma?	Ton école, elle est grande ?	Is your school big?	
xuexiao	juste	很大，有很多学生。	Hěn dà, yǒu hěn duō xuésheng.	Très grande, il y a beaucoup d'élèves.	Very big, there are lots of students.	
xuexiao	faux	我们家很大。	Wǒmen jiā hěn dà.	Notre maison est grande.	Our house is big.	contresens
xuexiao	faux	我在做饭。	Wǒ zài zuòfàn.	Je fais à manger.	I'm cooking.	hors-sujet
xuexiao	ami	你最喜欢什么课？	Nǐ zuì xǐhuan shénme kè?	Quel cours tu préfères ?	What's your favourite class?	
xuexiao	juste	汉语课！	Hànyǔ kè!	Le cours de chinois !	Chinese class!	
xuexiao	faux	汉语老师！	Hànyǔ lǎoshī!	La professeure de chinois !	The Chinese teacher!	contresens
xuexiao	faux	在桌子上。	Zài zhuōzi shàng.	Sur le bureau.	On the desk.	hors-sujet
xuexiao	fin	我也是！	Wǒ yě shì!	Moi aussi !	Me too!	
mang	ami	你今天忙吗？	Nǐ jīntiān máng ma?	Tu es occupé aujourd'hui ?	Are you busy today?	
mang	juste	很忙，下午还要上课。	Hěn máng, xiàwǔ hái yào shàngkè.	Très, j'ai encore cours cet après-midi.	Very, I still have class this afternoon.	
mang	faux	很好，谢谢。	Hěn hǎo, xièxie.	Très bien, merci.	Very well, thanks.	contresens
mang	faux	我有两个哥哥。	Wǒ yǒu liǎng ge gēge.	J'ai deux grands frères.	I have two older brothers.	hors-sujet
mang	ami	晚上呢？	Wǎnshang ne?	Et ce soir ?	And this evening?	
mang	juste	晚上不忙。	Wǎnshang bù máng.	Ce soir, non.	Not this evening.	
mang	faux	早上不忙。	Zǎoshang bù máng.	Le matin, non.	Not in the morning.	contresens
mang	faux	这本书很好。	Zhè běn shū hěn hǎo.	Ce livre est très bien.	This book is great.	hors-sujet
mang	ami	晚上我请你吃饭！	Wǎnshang wǒ qǐng nǐ chīfàn!	Ce soir, je t'invite à dîner !	Dinner's on me tonight!	
mang	juste	太好了，谢谢你！	Tài hǎo le, xièxie nǐ!	Super, merci !	Great, thank you!	
mang	faux	好，我请你！	Hǎo, wǒ qǐng nǐ!	D'accord, c'est moi qui t'invite !	OK, my treat!	contresens
mang	faux	他是我的汉语老师。	Tā shì wǒ de Hànyǔ lǎoshī.	C'est mon professeur de chinois.	He's my Chinese teacher.	hors-sujet
zhu	ami	你住在哪里？	Nǐ zhù zài nǎli?	Tu habites où ?	Where do you live?	
zhu	juste	我住在北京东边。	Wǒ zhù zài Běijīng dōngbian.	J'habite dans l'est de Pékin.	I live in the east of Beijing.	
zhu	faux	我住了两年。	Wǒ zhùle liǎng nián.	J'y habite depuis deux ans.	I've lived there for two years.	contresens
zhu	faux	晚上不忙。	Wǎnshang bù máng.	Ce soir, je suis libre.	I'm free this evening.	hors-sujet
zhu	ami	你家远不远？	Nǐ jiā yuǎn bù yuǎn?	C'est loin, chez toi ?	Is your place far?	
zhu	juste	不太远，坐车很快。	Bù tài yuǎn, zuò chē hěn kuài.	Pas trop, en bus c'est rapide.	Not too far, it's quick by bus.	
zhu	faux	很远，就在你家门口。	Hěn yuǎn, jiù zài nǐ jiā ménkǒu.	Très loin, juste devant chez toi.	Very far, right outside your door.	contresens
zhu	faux	我女儿五岁了。	Wǒ nǚ'ér wǔ suì le.	Ma fille a cinq ans.	My daughter is five.	hors-sujet
zhu	fin	那我明天去你家！	Nà wǒ míngtiān qù nǐ jiā!	Alors je passe chez toi demain !	Then I'll come over tomorrow!	
laoshi	ami	那个男人是谁？你认识他吗？	Nàge nánrén shì shéi? Nǐ rènshi tā ma?	Qui est cet homme ? Tu le connais ?	Who's that man? Do you know him?	
laoshi	juste	他是我的汉语老师。	Tā shì wǒ de Hànyǔ lǎoshī.	C'est mon professeur de chinois.	He's my Chinese teacher.	
laoshi	faux	她是我妈妈。	Tā shì wǒ māma.	C'est ma mère.	She's my mum.	contresens
laoshi	faux	我想喝水。	Wǒ xiǎng hē shuǐ.	J'ai envie d'eau.	I'd like some water.	hors-sujet
laoshi	ami	他叫什么名字？	Tā jiào shénme míngzi?	Comment il s'appelle ?	What's his name?	
laoshi	juste	他叫王明。	Tā jiào Wáng Míng.	Il s'appelle Wang Ming.	His name is Wang Ming.	
laoshi	faux	他二十岁。	Tā èrshí suì.	Il a vingt ans.	He's twenty.	contresens
laoshi	faux	很好看！	Hěn hǎokàn!	Très bien !	Very good!	hors-sujet
laoshi	fin	他很高！	Tā hěn gāo!	Il est très grand !	He's very tall!	
zhidao	ami	你知道吗？王明有女朋友了！	Nǐ zhīdào ma? Wáng Míng yǒu nǚpéngyou le!	Tu sais quoi ? Wang Ming a une copine !	Guess what? Wang Ming has a girlfriend!	
zhidao	juste	是吗？她是谁？	Shì ma? Tā shì shéi?	Ah bon ? C'est qui ?	Really? Who is she?	
zhidao	faux	王明有男朋友？	Wáng Míng yǒu nánpéngyou?	Wang Ming a un copain ?	Wang Ming has a boyfriend?	contresens
zhidao	faux	坐车来，不远。	Zuò chē lái, bù yuǎn.	Viens en bus, ce n'est pas loin.	Take the bus, it's not far.	hors-sujet
zhidao	ami	她是我们的同学，叫小月。	Tā shì wǒmen de tóngxué, jiào Xiǎoyuè.	C'est notre camarade de classe, elle s'appelle Xiaoyue.	She's in our class, her name's Xiaoyue.	
zhidao	juste	我认识她！她很好。	Wǒ rènshi tā! Tā hěn hǎo.	Je la connais ! Elle est très sympa.	I know her! She's lovely.	
zhidao	faux	她是老师？	Tā shì lǎoshī?	C'est une professeure ?	She's a teacher?	contresens
zhidao	faux	我想喝水。	Wǒ xiǎng hē shuǐ.	J'ai envie d'eau.	I'd like some water.	hors-sujet
dianhua	ami	你给我打电话了？	Nǐ gěi wǒ dǎ diànhuà le?	Tu m'as appelé ?	Did you call me?	
dianhua	juste	是，我想问你一个问题。	Shì, wǒ xiǎng wèn nǐ yī ge wèntí.	Oui, je voulais te poser une question.	Yes, I wanted to ask you something.	
dianhua	faux	是，我给你写了。	Shì, wǒ gěi nǐ xiě le.	Oui, je t'ai écrit.	Yes, I wrote to you.	contresens
dianhua	faux	他二十岁。	Tā èrshí suì.	Il a vingt ans.	He's twenty.	hors-sujet
dianhua	ami	什么问题？	Shénme wèntí?	Quelle question ?	What question?	
dianhua	juste	明天你有时间吗？	Míngtiān nǐ yǒu shíjiān ma?	Tu as du temps demain ?	Are you free tomorrow?	
dianhua	faux	我没有问题。	Wǒ méiyǒu wèntí.	Je n'ai pas de question.	I don't have a question.	contresens
dianhua	faux	我有两本书。	Wǒ yǒu liǎng běn shū.	J'ai deux livres.	I have two books.	hors-sujet
