# Les anecdotes du jour : un fait culturel ou historique, court, accroché à un caractère.
#
# Source : rédigé pour l'app, sans reprise d'un texte tiers (ni Wiktionary, ni
# encyclopédie recopiée). Les douze premières viennent de la maquette validée par le
# propriétaire (`maquettes/zilin-maquette.html`, septembre 2026) ; six y ont été
# corrigées : 四 (l'heure d'ouverture des Jeux de Pékin), 送 (l'anecdote de l'horloge,
# accrochée à 送 : 钟 n'est pas dans les traits exportés), 喜 (囍 est bien dans Unicode
# et les dictionnaires), 姓, 筷 et 春 (précisions). Celle du dragon 龙 n'est pas
# reprise : le dragon n'apparaît qu'au Nouvel An et à 端午 (CLAUDE.md, brief §5).
# Les autres sont écrites sur le même modèle, en session Claude Code, et restent à relire.
# Licence : textes propriétaires de l'app, comme les autres textes rédigés pour elle.
#
# Règles (brief §6, pas 1 « Ouvrir ») : un fait court, culturel ou historique, accroché
# à un seul caractère, de trois à cinq phrases, en français ; pas d'emoji, pas de
# dragon ; on n'y écrit que des faits largement attestés, et une légende se dit comme
# telle (« la légende », « on raconte », « aurait »). Les caractères sont pris d'abord
# sur le parcours Lire (les 90 premiers jours surtout), pour parler de ce que
# l'apprenant rencontre. `wenlu check` contrôle chaque ligne.
#
# Format : TSV, `#` en commentaire, sept colonnes séparées par une tabulation.
#
# - `c` : le caractère, un seul, unique dans le fichier, dessiné depuis ses traits ;
# - `titre`, `texte` : le titre (une phrase) et le texte (trois à cinq phrases) ;
# - `appui` : la nature de ce qui fonde le texte —
#   `langue` (sens, lectures, mots et expressions, tels que les dictionnaires les donnent),
#   `coutume` (usage ou croyance populaire largement documenté),
#   `histoire` (fait historique documenté),
#   `litterature` (texte classique cité, du domaine public),
#   `legende` (légende, dite comme telle dans le texte),
#   `ecriture` (histoire d'un caractère : forme ancienne, création, simplification) ;
# - `etiquette` : `atteste` ou `mnemotechnique` dès que le texte parle de l'origine
#   d'un caractère ou d'un mot (brief §2 : jamais l'un pour l'autre), vide sinon ;
# - `statut` : `relu` (validé par le propriétaire) ou `a_relire` ;
# - `source` : la provenance du texte.
c	titre	texte	appui	etiquette	statut	source
喜	Le double bonheur des mariages.	囍, deux 喜 (joie) côte à côte, se colle partout dans les mariages. On ne le lit dans aucun texte : c'est un porte-bonheur écrit, le « double bonheur ». On l'attribue à Wang Anshi, qui aurait réussi le même jour l'examen impérial et son mariage.	legende		a_relire	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026, corrigé)
人	Des montagnes et des mers de gens.	Pour dire une nationalité, on ajoute 人 au nom du pays : 中国人, un Chinois, 法国人, un Français. 人山人海, « des montagnes de gens, une mer de gens », décrit une foule immense. Et 大人, « la grande personne », veut dire l'adulte.	langue		a_relire	rédigé pour l'app
大	大夫, le médecin.	大 dà veut dire grand, mais il a une autre lecture : dài, dans 大夫 dàifu, le médecin. Lu dàfū, le même mot désignait autrefois un haut fonctionnaire. 大家, « la grande famille », veut dire tout le monde, et 大学, « la grande étude », l'université.	langue		a_relire	rédigé pour l'app
天	Le fils du Ciel.	L'empereur de Chine portait le titre de 天子, « fils du Ciel ». Il régnait par le 天命, le mandat du Ciel, une idée qui remonte aux Zhou, il y a trois mille ans : un souverain injuste pouvait le perdre, et sa dynastie tombait. Au quotidien, 天 veut aussi dire le jour : 今天, aujourd'hui, et 天天, tous les jours.	histoire		a_relire	rédigé pour l'app
朋	Le cercle des amis.	朋友 péngyou, l'ami, est l'un des premiers mots qu'on apprend. Sur WeChat, 朋友圈, « le cercle des amis », est le fil où l'on partage photos et nouvelles avec ses contacts. Les Entretiens de Confucius l'emploient dès leurs premières lignes : 有朋自远方来，不亦乐乎, « un ami qui arrive de loin, n'est-ce pas une joie ? ».	litterature		a_relire	rédigé pour l'app
日	Le pays d'où vient le soleil.	Le Japon s'écrit 日本, « l'origine du soleil » : vu de Chine, c'est le pays du soleil levant. 日 veut dire le soleil et le jour : 生日, l'anniversaire, est « le jour de naissance ». Et 日记, « le jour noté », est le journal intime.	langue		a_relire	rédigé pour l'app
明	La dynastie de la clarté.	明 veut dire clair, lumineux, et c'est le nom de la dynastie Ming, qui a régné de 1368 à 1644. C'est l'empereur Yongle, un Ming, qui a installé la capitale à Pékin et fait bâtir la Cité interdite, achevée en 1420. Dans la langue de tous les jours, 明天 veut dire demain, et 明白, « clair et blanc », comprendre.	histoire		a_relire	rédigé pour l'app
一	Un caractère qui change de ton.	Seul, 一 se dit yī, au premier ton. Devant un quatrième ton, il passe au deuxième : 一个 yí gè, 一定 yídìng. Devant les autres tons, il passe au quatrième : 一天 yì tiān, 一起 yìqǐ. Beaucoup de dictionnaires gardent yī partout : c'est l'oreille qui corrige.	langue		a_relire	rédigé pour l'app
是	Il n'y a pas de oui.	Le chinois n'a pas de mot unique pour dire oui. On répond en reprenant le verbe de la question : à 你去吗, « tu y vas », on répond 去, « j'y vais ». Pour approuver, on dit aussi 对, « c'est juste ». Et devant un adjectif, pas de 是 : on dit 我很高兴, « je suis content ».	langue		a_relire	rédigé pour l'app
有	Une négation à part.	有 yǒu veut dire avoir, et il y a. Il a sa propre négation : 没有, jamais 不有. 有意思, « il y a du sens », veut dire intéressant, et 没意思, ennuyeux. On s'en sert aussi pour parler de sa famille : 我有两个哥哥, j'ai deux grands frères.	langue		a_relire	rédigé pour l'app
十	Compter jusqu'à dix sur une main.	En Chine, on compte de un à dix sur une seule main. Six se fait avec le pouce et l'auriculaire, huit avec le pouce et l'index écartés, comme un 八. Pour dix, on croise souvent les deux index : ils dessinent 十. Les gestes varient d'une région à l'autre, mais ceux-là sont très répandus.	coutume		a_relire	rédigé pour l'app
早	Bonjour, en un mot.	Le matin, entre voisins ou collègues, on se salue souvent d'un seul mot : 早 zǎo, « tôt ». C'est la forme courte de 早上好, le bonjour du matin. 早饭 est le petit-déjeuner, et 早点, selon le contexte, un petit-déjeuner ou « un peu plus tôt ».	langue		a_relire	rédigé pour l'app
口	Combien de bouches à la maison ?	Pour compter les membres d'une famille, on emploie 口, la bouche : 我家有三口人, « chez moi, il y a trois bouches ». Le même mot compte aussi les puits, 一口井, et les grandes marmites, 一口锅. Et 人口, « personnes-bouches », veut dire la population.	langue		a_relire	rédigé pour l'app
门	La porte de la Paix céleste.	天安门, sur la place du même nom à Pékin, est une porte : la porte de la Paix céleste, entrée de la Cité impériale. Bâtie sous les Ming en 1420, elle a pris son nom actuel en 1651. 门 sert aussi à compter les matières : 一门课, un cours, 两门语言, deux langues.	histoire		a_relire	rédigé pour l'app
问	Le savoir, c'est poser des questions.	问 wèn veut dire demander, questionner. 学问, le savoir, s'écrit « étudier » et « demander » côte à côte. Pour aborder quelqu'un poliment, on commence par 请问, « permettez-moi de demander ». Et 问好, « demander si ça va », c'est transmettre ses amitiés.	langue		a_relire	rédigé pour l'app
八	Les huit trigrammes et les potins.	八卦 bāguà, ce sont les huit trigrammes du Yijing, le Classique des changements, qu'on voit disposés autour du symbole du yin et du yang. Dans la langue familière d'aujourd'hui, 八卦 veut aussi dire les potins, et 很八卦, être friand de ragots. Le mot savant est devenu celui des magazines.	langue		a_relire	rédigé pour l'app
只	Un oiseau dans la main.	只 se lit zhī quand il compte les animaux, 一只猫, un chat, ou l'un d'une paire, 一只手, une main. Il se lit zhǐ quand il veut dire seulement : 只有, il n'y a que. En écriture traditionnelle, le compteur s'écrit 隻, un oiseau (隹) tenu dans la main (又) ; la simplification l'a fondu dans 只.	ecriture	atteste	a_relire	rédigé pour l'app
友	Les magasins de l'amitié.	友谊, l'amitié, a donné son nom aux 友谊商店, les magasins de l'amitié, ouverts dès l'époque de Mao. D'abord réservés aux étrangers et aux diplomates, ils vendaient des produits introuvables ailleurs. Jusqu'aux années 1990, on y payait avec des certificats de change, une monnaie à part.	histoire		a_relire	rédigé pour l'app
女	Une écriture de femmes.	Dans le district de Jiangyong, au Hunan, des femmes ont utilisé pendant des générations une écriture à elles, le 女书, « l'écriture des femmes ». Ses signes fins et penchés notent la langue locale par les sons. On y écrivait des chants, des lettres et les « livres du troisième jour », offerts à une jeune mariée. Yang Huanyi, la dernière à l'avoir apprise dans la tradition, est morte en 2004.	histoire		a_relire	rédigé pour l'app
子	Maître Kong.	子 veut dire l'enfant, mais aussi le maître, un titre de respect. Confucius est la forme latine de 孔夫子, « maître Kong », qu'on appelle aussi 孔子 ; Mencius, celle de 孟子, « maître Meng ». Dans la langue courante, 子 est aussi un simple suffixe : 桌子, la table, 筷子, les baguettes.	histoire		a_relire	rédigé pour l'app
好	Bon, et aimer.	好 se lit le plus souvent hǎo, bon, bien : 你好, et 好吃, bon à manger. Mais il a une seconde lecture, hào, aimer, avoir le goût de : 好学 hàoxué, aimer étudier. Un même caractère, deux tons, deux sens : le contexte décide.	langue		a_relire	rédigé pour l'app
学	La première phrase de Confucius.	Les Entretiens de Confucius, 论语, commencent par 学 : 学而时习之，不亦说乎, « étudier et s'y exercer au bon moment, n'est-ce pas un plaisir ? ». Dans cette phrase, 说 ne se lit pas shuō mais yuè, et veut dire se réjouir. Vingt-cinq siècles plus tard, les écoliers chinois l'apprennent encore.	litterature		a_relire	rédigé pour l'app
生	Né, vivant, cru.	生 dit la vie sous toutes ses formes : naître, vivre, pousser. 学生 est l'élève, et 生日, le jour de naissance. Dans l'assiette, 生 veut dire cru, par opposition à 熟, cuit : 生鱼片, le poisson cru. Et 生词, « mot cru », est un mot qu'on ne connaît pas encore.	langue		a_relire	rédigé pour l'app
星	La semaine des étoiles.	La semaine se dit 星期, « la période des étoiles ». Ses jours ne portent pas de noms d'astres comme en français : ils se comptent, de 星期一, lundi, à 星期六, samedi. Dimanche est 星期天 ou 星期日. On entend aussi 礼拜天, « le jour du culte ».	langue		a_relire	rédigé pour l'app
儿	Le r de Pékin.	À Pékin, bien des mots se terminent par un son r, noté 儿 : 哪儿 nǎr, où ; 这儿 zhèr, ici ; 一点儿 yìdiǎnr, un peu. On appelle ce trait 儿化, la finale en r. Dans le sud, on dit plutôt 哪里 et 这里, sans ce r.	langue		a_relire	rédigé pour l'app
先	Monsieur, né avant.	先生, monsieur, s'écrit « né avant » : c'est d'abord un titre de respect pour un aîné ou un maître. On l'emploie aujourd'hui pour tout homme, 王先生, monsieur Wang, et une femme peut dire 我先生, mon mari. 先 veut dire avant, d'abord : 你先走, « passe devant ».	langue		a_relire	rédigé pour l'app
母	La mère des lettres.	母 est la mère, et le mot s'étend à ce qui engendre. 母语, « la langue mère », est la langue maternelle. 字母, « la mère des caractères », désigne une lettre de l'alphabet : le pinyin a les siennes. Et 母亲节, la fête des Mères, se fête en Chine le deuxième dimanche de mai.	langue		a_relire	rédigé pour l'app
见	Au revoir, à se revoir.	见 veut dire voir, rencontrer. 再见, au revoir, s'écrit « de nouveau voir » ; 见面, « voir le visage », c'est se rencontrer. Pour le coup de foudre, on dit 一见钟情, « un seul regard, et le cœur se prend ». Entre amis, on entend aussi 拜拜, emprunté à l'anglais bye-bye.	langue		a_relire	rédigé pour l'app
她	Un pronom tout neuf.	Jusqu'au début du XXe siècle, le chinois écrivait 他 pour il comme pour elle. Pour traduire le she des langues occidentales, le linguiste et poète Liu Bannong 刘半农 a proposé d'écrire 她, avec la clé de la femme. Son poème 教我如何不想她, « comment ne pas penser à elle », écrit en 1920, a répandu le caractère. On le prononce tā, exactement comme 他.	ecriture	atteste	a_relire	rédigé pour l'app
火	Le char de feu.	火车, le train, est « le char de feu » : le mot date des locomotives à vapeur, et il est resté. 火锅, la marmite de feu, est la fondue chinoise, qu'on partage autour d'un bouillon qui frémit. Et quand une chanson ou un restaurant a du succès, on dit qu'il est 很火, « très en feu ».	langue	atteste	a_relire	rédigé pour l'app
山	Les cinq montagnes sacrées.	La Chine vénère cinq montagnes, les 五岳 : le 泰山 à l'est, le 华山 à l'ouest, le 衡山 au sud, le 恒山 au nord et le 嵩山 au centre. Au sommet du 泰山, des empereurs venaient offrir des sacrifices au Ciel et à la Terre. Des milliers de marches y mènent, qu'on gravit encore de nuit pour voir le soleil se lever.	histoire		a_relire	rédigé pour l'app
心	Un petit cœur pour faire attention.	心, le cœur, est aussi le siège de la pensée : 心想, penser en soi-même. 小心, « petit cœur », veut dire attention, et se lit sur les panneaux : 小心地滑, sol glissant. 开心, « cœur ouvert », veut dire joyeux, et 放心, « poser le cœur », ne pas s'inquiéter.	langue		a_relire	rédigé pour l'app
米	Le riz et le mètre.	米 est le riz cru, en grains ; cuit, il devient 米饭. Mais 米 est aussi le mètre : on a pris le caractère pour son son, mǐ, proche de « mè ». Un kilomètre se dit 公里, et un centimètre 厘米.	langue	atteste	a_relire	rédigé pour l'app
几	Combien, quand c'est peu.	几 jǐ demande combien quand on attend un petit nombre : 你几岁, quel âge as-tu, se demande à un enfant. Pour un nombre plus grand ou inconnu, on emploie 多少 : 多少钱, combien ça coûte. Lu jī, le même caractère désigne une petite table : 茶几, la table basse où l'on pose le thé.	langue		a_relire	rédigé pour l'app
白	Le clair de lune de Li Bai.	李白, Li Bai (701-762), est l'un des poètes les plus aimés de Chine. Son quatrain 静夜思, « pensée d'une nuit calme », commence par 床前明月光, « devant mon lit, la clarté de la lune » : presque tous les enfants chinois le savent par cœur. 白 veut dire blanc, et aussi « pour rien » : 白跑一趟, faire le trajet en vain.	litterature		a_relire	rédigé pour l'app
小	Petit Wang et vieux Wang.	Entre collègues, on s'appelle souvent par le nom de famille précédé de 小 ou de 老. 小王, « petit Wang », se dit à un plus jeune ; 老王, « vieux Wang », à un aîné, sans rien de vexant. C'est familier et affectueux, entre gens qui se connaissent bien.	coutume		a_relire	rédigé pour l'app
车	Le char des échecs chinois.	Aux échecs chinois, 象棋, la pièce qui file tout droit comme notre tour s'appelle 车, le char. Dans ce jeu, on la lit souvent jū, une ancienne lecture du caractère. Au quotidien, 车 désigne tout véhicule : 汽车, la voiture, 火车, le train, 自行车, le vélo.	langue		a_relire	rédigé pour l'app
方	Un mot poli pour les toilettes.	方便 veut dire commode, pratique : on demande 你方便吗, « est-ce que ça t'arrange ». Par politesse, 我去方便一下, « je vais me mettre à l'aise », veut dire aller aux toilettes. 方 veut dire aussi le côté, la direction : 东方, l'Orient.	langue		a_relire	rédigé pour l'app
干	Cul sec.	干杯, « sécher la coupe », c'est trinquer, et au sens propre boire cul sec. 干 veut dire sec, et aussi faire : 你干什么, qu'est-ce que tu fais. En écriture traditionnelle, ce sont deux caractères différents, 乾 et 幹, que la simplification a réunis sous 干.	ecriture	atteste	a_relire	rédigé pour l'app
水	Le vent et l'eau.	风水, « le vent et l'eau », est l'art traditionnel d'orienter une maison ou une tombe pour l'accorder au lieu. On y regarde les montagnes, l'eau et l'orientation, souvent la façade au sud. Beaucoup y pensent encore quand ils choisissent un appartement ou la place d'un bureau.	coutume		a_relire	rédigé pour l'app
文	文, le nom de l'app.	文 veut dire l'écrit, la culture : 文化, la culture, 文字, l'écriture. 中文 désigne la langue chinoise, surtout écrite ; 汉语, « la langue des Han », est le nom qu'emploient les manuels et le HSK. Wenlu, 文路, c'est « le chemin de l'écrit » : le point qui ouvre 文, dans le logo, est son premier trait.	langue		a_relire	rédigé pour l'app
中	Le pays du milieu.	中国, la Chine, s'écrit « le pays du milieu ». Le mot est ancien : il désignait d'abord les royaumes de la plaine centrale, avant de nommer tout le pays. 中 veut dire milieu, dedans : 中间, au milieu, 中午, midi, « le milieu du jour ».	histoire		a_relire	rédigé pour l'app
里	Dix mille li de muraille.	里 lǐ est une ancienne mesure de distance, fixée aujourd'hui à cinq cents mètres. La Grande Muraille s'appelle 万里长城, « le long mur de dix mille li », une façon de dire qu'elle n'en finit pas. Avec 这 ou 那, 里 désigne l'endroit : 这里, ici, 那里, là-bas.	langue		a_relire	rédigé pour l'app
毛	Des poils et des sous.	毛 máo, c'est le poil, la fourrure, la laine : 毛衣, le pull. Dans la monnaie parlée, 一毛, c'est un dixième de yuan, que l'écrit appelle 角. On compte ainsi en 块, 毛 et 分 : 三块五毛, trois yuans cinquante.	langue		a_relire	rédigé pour l'app
六	Six, six, six.	六 liù, six, sonne presque comme 溜 liū, filer sans accroc. 六六大顺, « six six, grande réussite », est un vœu de bonne marche. En ligne, 666 veut dire bravo, bien joué : c'est un compliment.	coutume		a_relire	rédigé pour l'app
非	Très, parce que pas ordinaire.	非 veut dire non, ne pas être : 非法, illégal, « pas selon la loi ». 非常, « pas ordinaire », est devenu le très le plus courant : 非常好, très bien. Pour son son, on le retrouve dans 非洲, l'Afrique.	langue	atteste	a_relire	rédigé pour l'app
高	Deux jours pour tout un pays.	高考, l'examen d'entrée à l'université, a lieu chaque année les 7 et 8 juin, et certaines provinces y ajoutent un ou deux jours. Plus de dix millions de lycéens le passent en même temps. Ces jours-là, des villes font taire les klaxons près des centres d'examen, et la police escorte les candidats en retard.	coutume		a_relire	rédigé pour l'app
气	Le souffle qui fâche.	气 qì, le souffle, est partout : 天气, le temps qu'il fait, « le souffle du ciel ». 生气, « produire du souffle », veut dire se fâcher. Et 客气, « le souffle de l'invité », c'est la politesse : à qui vous remercie, on répond 不客气, « pas de manières ».	langue		a_relire	rédigé pour l'app
开	De l'eau bouillie, bien chaude.	开 veut dire ouvrir, et aussi bouillir : 开水, c'est l'eau qui a bouilli. En Chine, on boit volontiers de l'eau chaude, même en été, et les trains ont leur fontaine d'eau bouillante. 开 ouvre aussi une réunion, 开会, et conduit une voiture, 开车.	coutume		a_relire	rédigé pour l'app
京	Les capitales du nord et du sud.	京 veut dire la capitale. 北京 est « la capitale du nord », 南京 « la capitale du sud », qui l'a été sous plusieurs dynasties. Tokyo s'écrit 东京, « la capitale de l'est », avec les mêmes caractères. Et 京剧, l'opéra de Pékin, porte aussi son nom.	histoire		a_relire	rédigé pour l'app
电	Le cerveau électrique.	电 veut dire l'électricité, et il a nommé les machines modernes. 电脑, l'ordinateur, est « le cerveau électrique » ; 电影, le cinéma, « l'ombre électrique » ; 电话, le téléphone, « la parole électrique ». 电梯, l'ascenseur, est « l'échelle électrique ».	langue		a_relire	rédigé pour l'app
九	Le chiffre de l'empereur.	九 jiǔ se prononce comme 久, longtemps : on l'associe à la longévité et à l'amour qui dure. C'était le chiffre de l'empereur : la plupart des grandes portes de la Cité interdite portent neuf rangées de neuf clous. Le neuvième jour du neuvième mois, la fête du double neuf honore les anciens.	coutume		a_relire	rédigé pour l'app
去	L'année qui est partie.	去 qù veut dire aller, partir. 去年, « l'année partie », est l'année dernière, et 过去, « passé par là », le passé. 去 va toujours vers ailleurs, loin de celui qui parle, et 来 fait le chemin inverse.	langue		a_relire	rédigé pour l'app
不	Un non qui change de ton.	不 bù dit non devant presque tout. Devant un quatrième ton, il passe au deuxième : 不是 bú shì, 不对 bú duì. Pour répondre non, on reprend le verbe : à 你去吗, on répond 不去, je n'y vais pas.	langue		a_relire	rédigé pour l'app
五	Les cinq phases.	五行, les cinq phases, organisent la pensée chinoise ancienne : le bois, le feu, la terre, le métal et l'eau. Chacune engendre la suivante et en domine une autre, et la médecine chinoise s'en sert encore. Les cinq planètes visibles en portent les noms : 火星, Mars, est l'astre du feu, et 水星, Mercure, celui de l'eau.	histoire		a_relire	rédigé pour l'app
夫	Le kung-fu, c'est du temps.	Le mot kung-fu vient de 功夫 gōngfu, qui ne désigne pas d'abord un art martial : c'est l'habileté acquise par le temps et l'effort. On peut avoir du 功夫 en calligraphie comme en cuisine. Son homophone 工夫 veut dire le temps dont on dispose : 没工夫, je n'ai pas le temps.	langue	atteste	a_relire	rédigé pour l'app
西	Le voyage vers l'Ouest.	西游记, le Voyage vers l'Ouest, est l'un des quatre grands romans classiques chinois. Il fait une épopée fantastique du pèlerinage du moine Xuanzang jusqu'en Inde, au VIIe siècle, escorté par le roi des singes 孙悟空. 西 est aussi dans 西瓜, la pastèque, « le melon de l'ouest ».	litterature		a_relire	rédigé pour l'app
我	Nous, avec ou sans toi.	我 veut dire je, et 我们, nous. Mais dans le nord de la Chine, on distingue un second nous : 咱们 zánmen compte toujours celui à qui l'on parle, alors que 我们 peut le laisser de côté. 咱们走吧, « allons-y, toi et moi ».	langue		a_relire	rédigé pour l'app
出	Sortie ou exportation.	出 veut dire sortir. Sur les panneaux, 出口 est la sortie et 入口 l'entrée ; en économie, 出口 veut aussi dire exporter. 出租车, la voiture de location, est le taxi.	langue		a_relire	rédigé pour l'app
上	Sur la mer.	上海, Shanghai, s'écrit « sur la mer ». 上 veut dire en haut, et aussi aller vers : 上班, aller au travail, 上学, aller à l'école, 上网, aller sur Internet. Et 上 compte le temps : 上个月, le mois dernier, « le mois d'au-dessus ».	langue		a_relire	rédigé pour l'app
老	Le vieux maître et l'étranger.	老 veut dire vieux, et c'est souvent une marque de respect ou d'affection. 老师, le professeur, est « le vieux maître », quel que soit son âge. 老外, « le vieux du dehors », désigne familièrement un étranger. Et 老 forme des mots sans idée d'âge : 老虎, le tigre.	langue		a_relire	rédigé pour l'app
午	L'heure du cheval.	L'ancienne Chine découpait la journée en douze heures doubles, chacune liée à un animal du zodiaque. 午时, l'heure du cheval, allait de 11 heures à 13 heures, avec midi en son centre. C'est pourquoi 中午 veut dire midi, 午饭 le déjeuner, et 下午 l'après-midi.	histoire		a_relire	rédigé pour l'app
长	Le long fleuve.	长 cháng veut dire long : 长江, « le long fleuve », est le Yangzi, le plus long d'Asie, plus de six mille kilomètres. 长城, « le long mur », est la Grande Muraille. Lu zhǎng, le même caractère veut dire grandir, et désigne le chef : 校长, le directeur d'école.	langue		a_relire	rédigé pour l'app
两	Deux, mais pas n'importe comment.	Le chinois a deux mots pour deux. On compte 一, 二, 三, mais devant un classificateur on dit 两 : 两个人, deux personnes, et non 二个人. 两 est aussi une ancienne mesure de poids, le liang, fixé aujourd'hui à cinquante grammes.	langue		a_relire	rédigé pour l'app
